PERMNO,date,TICKER,COMNAM,CUSIP,FACPR,PRC,CFACPR
14593,20000710,AAPL,APPLE COMPUTER INC,3783310,,57.125,14
14593,20000711,AAPL,APPLE COMPUTER INC,3783310,,56.9375,14
14593,20000712,AAPL,APPLE COMPUTER INC,3783310,,58.875,14
14593,20000713,AAPL,APPLE COMPUTER INC,3783310,,56.5,14
14593,20000714,AAPL,APPLE COMPUTER INC,3783310,,57.6875,14
14593,20000717,AAPL,APPLE COMPUTER INC,3783310,,58.3125,14
14593,20000718,AAPL,APPLE COMPUTER INC,3783310,,57.25,14
14593,20000719,AAPL,APPLE COMPUTER INC,3783310,,52.6875,14
14593,20000720,AAPL,APPLE COMPUTER INC,3783310,,55.125,14
14593,20000721,AAPL,APPLE COMPUTER INC,3783310,,53.5625,14
14593,20000724,AAPL,APPLE COMPUTER INC,3783310,,48.6875,14
14593,20000725,AAPL,APPLE COMPUTER INC,3783310,,50.0625,14
14593,20000726,AAPL,APPLE COMPUTER INC,3783310,,50.0625,14
14593,20000727,AAPL,APPLE COMPUTER INC,3783310,,52,14
14593,20000728,AAPL,APPLE COMPUTER INC,3783310,,48.3125,14
14593,20000731,AAPL,APPLE COMPUTER INC,3783310,,50.8125,14
14593,20000801,AAPL,APPLE COMPUTER INC,3783310,,49.3125,14
14593,20000802,AAPL,APPLE COMPUTER INC,3783310,,47.25,14
14593,20000803,AAPL,APPLE COMPUTER INC,3783310,,48,14
14593,20000804,AAPL,APPLE COMPUTER INC,3783310,,47.375,14
14593,20000807,AAPL,APPLE COMPUTER INC,3783310,,47.9375,14
14593,20000808,AAPL,APPLE COMPUTER INC,3783310,,46.75,14
14593,20000809,AAPL,APPLE COMPUTER INC,3783310,,47.5,14
14593,20000810,AAPL,APPLE COMPUTER INC,3783310,,47.5625,14
14593,20000811,AAPL,APPLE COMPUTER INC,3783310,,47.6875,14
14593,20000814,AAPL,APPLE COMPUTER INC,3783310,,47.0625,14
14593,20000815,AAPL,APPLE COMPUTER INC,3783310,,46.6875,14
14593,20000816,AAPL,APPLE COMPUTER INC,3783310,,48.5,14
14593,20000817,AAPL,APPLE COMPUTER INC,3783310,,51.4375,14
14593,20000818,AAPL,APPLE COMPUTER INC,3783310,,50,14
14593,20000821,AAPL,APPLE COMPUTER INC,3783310,,50.5,14
14593,20000822,AAPL,APPLE COMPUTER INC,3783310,,51.6875,14
14593,20000823,AAPL,APPLE COMPUTER INC,3783310,,54.3125,14
14593,20000824,AAPL,APPLE COMPUTER INC,3783310,,56.10938,14
14593,20000825,AAPL,APPLE COMPUTER INC,3783310,,56.8125,14
14593,20000828,AAPL,APPLE COMPUTER INC,3783310,,58.0625,14
14593,20000829,AAPL,APPLE COMPUTER INC,3783310,,59.1875,14
14593,20000830,AAPL,APPLE COMPUTER INC,3783310,,59.5,14
14593,20000831,AAPL,APPLE COMPUTER INC,3783310,,60.9375,14
14593,20000901,AAPL,APPLE COMPUTER INC,3783310,,63.4375,14
14593,20000905,AAPL,APPLE COMPUTER INC,3783310,,62.4375,14
14593,20000906,AAPL,APPLE COMPUTER INC,3783310,,58.4375,14
14593,20000907,AAPL,APPLE COMPUTER INC,3783310,,62,14
14593,20000908,AAPL,APPLE COMPUTER INC,3783310,,58.875,14
14593,20000911,AAPL,APPLE COMPUTER INC,3783310,,58.4375,14
14593,20000912,AAPL,APPLE COMPUTER INC,3783310,,57.75,14
14593,20000913,AAPL,APPLE COMPUTER INC,3783310,,58,14
14593,20000914,AAPL,APPLE COMPUTER INC,3783310,,56.85938,14
14593,20000915,AAPL,APPLE COMPUTER INC,3783310,,55.23438,14
14593,20000918,AAPL,APPLE COMPUTER INC,3783310,,60.65625,14
14593,20000919,AAPL,APPLE COMPUTER INC,3783310,,59.9375,14
14593,20000920,AAPL,APPLE COMPUTER INC,3783310,,61.04688,14
14593,20000921,AAPL,APPLE COMPUTER INC,3783310,,56.6875,14
14593,20000922,AAPL,APPLE COMPUTER INC,3783310,,52.1875,14
14593,20000925,AAPL,APPLE COMPUTER INC,3783310,,53.5,14
14593,20000926,AAPL,APPLE COMPUTER INC,3783310,,51.4375,14
14593,20000927,AAPL,APPLE COMPUTER INC,3783310,,48.9375,14
14593,20000928,AAPL,APPLE COMPUTER INC,3783310,,53.5,14
14593,20000929,AAPL,APPLE COMPUTER INC,3783310,,25.75,14
14593,20001002,AAPL,APPLE COMPUTER INC,3783310,,24.25,14
14593,20001003,AAPL,APPLE COMPUTER INC,3783310,,22.3125,14
14593,20001004,AAPL,APPLE COMPUTER INC,3783310,,23.625,14
14593,20001005,AAPL,APPLE COMPUTER INC,3783310,,22.0625,14
14593,20001006,AAPL,APPLE COMPUTER INC,3783310,,22.1875,14
14593,20001009,AAPL,APPLE COMPUTER INC,3783310,,21.75,14
